time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
"Tue Jan 01 2013","Rain until evening.","rain","1357044945","1357080491","0.64","0.0466","0.1542","1357038000","0.99","rain","51.06","1357070400","34.34","1357135200","51.06","1357070400","30.81","1357135200","45.45","0.95","1017.22","1.05","13.3","1357099200","7","1","","","5.74","",,"1357102800","51.06","1357070400","34.95","1357099200","51.06","1357070400"
"Wed Jan 02 2013","Overcast throughout the day.","cloudy","1357131353","1357166937","0.67","0.0002","0.0008","1357142400","0.1","rain","34.86","1357131600","31.77","1357221600","34.59","1357160400","30.48","1357189200","33.13","0.93","1021.97","3.66","9.22","1357117200","359","0.99","","","5.64","",,"1357189200","38.6","1357106400","30.19","1357167600","35.69","1357106400"
"Thu Jan 03 2013","Mostly cloudy in the morning.","partly-cloudy-day","1357217760","1357253384","0.7","0.0001","0.0006","1357250400","0.04","snow","43.65","1357246800","26.47","1357300800","43.06","1357250400","26.47","1357300800","29.25","0.81","1026.47","2.21","9.5","1357243200","351","0.42","","","7.83","",,"1357272000","43.65","1357246800","29","1357272000","43.06","1357250400"
"Fri Jan 04 2013","Clear throughout the day.","clear-day","1357304165","1357339832","0.74","0.0008","0.0051","1357322400","0.12","snow","45.93","1357329600","26.19","1357383600","45.93","1357329600","26.19","1357383600","25.81","0.72","1030.22","1.22","8.35","1357329600","14","0.01","","","9.57","",,"1357300800","45.93","1357329600","26.47","1357300800","45.93","1357329600"
"Sat Jan 05 2013","Mostly cloudy throughout the day.","partly-cloudy-night","1357390569","1357426281","0.78","0.0016","0.0146","1357448400","0.91","rain","47.21","1357416000","38.84","1357452000","47.21","1357416000","38.84","1357452000","29.69","0.77","1028.07","0.65","4.89","1357437600","224","0.57","","","9.43","",,"1357383600","47.21","1357416000","26.19","1357383600","47.21","1357416000"
"Sun Jan 06 2013","Mostly cloudy until afternoon.","partly-cloudy-day","1357476970","1357512731","0.81","0.0006","0.0085","1357452000","0.76","rain","47.2","1357502400","27.09","1357563600","45.51","1357509600","23.49","1357563600","36.86","0.86","1025.02","1.25","9.47","1357502400","280","0.59","","","8.57","",,"1357534800","47.2","1357502400","31.91","1357534800","45.51","1357509600"
"Mon Jan 07 2013","Clear throughout the day.","clear-day","1357563370","1357599182","0.85","0","0","","0","","51.93","1357592400","34.44","1357610400","51.93","1357592400","34.44","1357610400","29.69","0.76","1027.44","1.34","8.25","1357542000","36","0.01","","","8.68","",,"1357563600","51.93","1357592400","23.49","1357563600","51.93","1357592400"
"Tue Jan 08 2013","Mostly cloudy starting in the afternoon.","partly-cloudy-night","1357649767","1357685634","0.89","0.0001","0.0007","1357657200","0.09","rain","58.98","1357675200","50.28","1357732800","58.98","1357675200","50.28","1357732800","38.34","0.72","1025.32","2.51","9.32","1357660800","137","0.31","","","9.7","",,"1357624800","58.98","1357675200","35.44","1357624800","58.98","1357675200"
"Wed Jan 09 2013","Rain in the morning and evening.","rain","1357736163","1357772087","0.93","0.0208","0.075","1357790400","0.97","rain","57.61","1357765200","56.68","1357786800","57.61","1357765200","56.68","1357786800","52.33","0.93","1027.09","1.67","7.43","1357714800","113","0.96","","","5.29","",,"1357732800","57.61","1357765200","50.28","1357732800","57.61","1357765200"
"Thu Jan 10 2013","Overcast throughout the day.","cloudy","1357822558","1357858541","0.96","0.0019","0.0077","1357804800","0.75","rain","63.22","1357848000","62.42","1357909200","63.5","1357848000","62.86","1357909200","58.58","0.92","1023.74","4.85","18.03","1357869600","132","0.98","","","7.92","",,"1357797600","65.31","1357880400","57.27","1357797600","65.58","1357880400"
